OG	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG_11676	0.914430783999999	2.383448521	4.00290995558775	0.00281018324337523	0.00486566008106959	-2.35135749083007
OG_26636	-0.7113213412	1.900688001	-3.99936219884516	0.00282573827680287	0.00489085524188111	-2.35713592885546
OG_30933	0.7076088388	0.2574425732	3.99821981329094	0.00283076634869005	0.0048978186664946	-2.35899689073545
OG_15201	0.443050939400001	6.3118365021	3.99625220609254	0.00283944867873269	0.00491109753731126	-2.3622024831558
OG_11904	-0.5790616552	1.5023705428	-3.99361556068512	0.00285112730580295	0.00492954753050145	-2.36649872134514
OG_31002	0.5261733112	2.7744859176	3.99270531104961	0.00285517087951688	0.00493478825062599	-2.36798208788155
OG_13123	-3.4844353	-2.203565999	-3.99160313597256	0.00286007513750062	0.00494151230775541	-2.3697783414752
OG_11617	2.3717661822	-2.6848222629	3.99085419962143	0.00286341268879083	0.00494552567156858	-2.37099898464525
OG_1974	0.602730255199998	4.6202017892	3.99039599567772	0.00286545664924563	0.00494730276600184	-2.3717458117543
OG_11650	-0.3854788464	9.5338408778	-3.98653641919649	0.00288273469274159	0.0049753714208295	-2.3780374421557
OG_30474	-0.9852181832	-2.088344454	-3.98507105251812	0.00288932340747966	0.00498497780108172	-2.38042660963874
OG_30498	-3.2824347284	-2.3316354108	-3.98481125011912	0.00289049321151577	0.00498523139169422	-2.38085022165433
OG_12796	-0.764851761800001	3.6003139035	-3.98439815068588	0.00289235429011129	0.00498667662186149	-2.38152380197865
OG_29881	-2.4215557634	-1.8357701187	-3.98066905577163	0.0029092117706981	0.00501396682121023	-2.38760512067768
OG_22721	2.354085002	-3.0257934576	3.97959398327971	0.00291409088805744	0.00501903670564121	-2.38935860158555
OG_10640	-0.5764584978	2.8780711159	-3.97956711417157	0.00291421294151921	0.00501903670564121	-2.3894024276371
OG_3214	-2.9990720668	-1.5602199942	-3.97794699073927	0.00292158235782233	0.00502995139951468	-2.3920451455093
OG_30773	0.5726560232	3.6199536974	3.97534344940168	0.00293346622351546	0.00504862795671411	-2.39629258940946
OG_18670	-2.3933790332	-2.2014934274	-3.97072261703603	0.00295468372012218	0.00508334925939834	-2.40383285468765
OG_13231	-0.4288778066	4.2035247857	-3.96578968625293	0.00297751297808005	0.00512081801523013	-2.41188492552739
OG_2672	0.765729247199999	4.676678042	3.96510800549738	0.00298068234605341	0.00512446058365585	-2.41299784419885
OG_20623	-2.4889818438	-2.7602225133	-3.96159370550663	0.00299707806636097	0.0051508316274483	-2.4187361113694
OG_12496	0.381562153599999	5.541051129	3.95814529075433	0.0030132588556675	0.00517681482640937	-2.42436807772458
OG_30751	1.7546852356	-0.6329433012	3.94434607029405	0.00307893546375148	0.00528597075314668	-2.44691764797514
OG_12139	-2.920036135	-2.7621103465	-3.94434012382152	0.0030789640886712	0.00528597075314668	-2.44692736955748
OG_9452	0.4634554516	3.6889277808	3.94356308779045	0.00308270697124137	0.00529053302036283	-2.44819773788177
OG_12168	0.483725080800001	4.1687103764	3.94295666119947	0.00308563138144739	0.00529368791030432	-2.44918922274494
OG_206	-1.9787266788	-3.7404832222	-3.94133381113438	0.00309347174640002	0.00530527139055373	-2.45184271248383
OG_65	0.7547746842	1.2936000511	3.93871715889421	0.0031061576467097	0.00532515384103521	-2.4561217315308
OG_30798	0.6954285078	3.7429055507	3.93472423234096	0.00312562167998213	0.00535663856126333	-2.46265276102396
OG_11689	0.4886694692	5.0252386638	3.93360363815024	0.00313110722453462	0.00536415346656652	-2.46448596090229
OG_30584	2.1183736028	2.8613482732	3.93186225122401	0.00313965181888503	0.00537690195546228	-2.4673349873376
OG_11825	2.7241829704	-2.8710813044	3.92607987727087	0.00316820129364403	0.00542388939417667	-2.47679761272626
OG_10837	0.440935980399998	4.1774367922	3.92304887585097	0.00318327547275976	0.00544778253308675	-2.48175911785373
OG_640	0.375294775400001	3.9879748895	3.92237393621862	0.00318664244614706	0.00545163049579529	-2.4828640696876
OG_9755	0.3962175322	5.6658825069	3.91434241903396	0.00322699725835896	0.00551873145166371	-2.49601618931541
OG_5845	-2.1590581518	-2.1104048979	-3.9137492191542	0.00322999909289968	0.00552192759691092	-2.49698785653009
OG_4241	-2.171818887	-2.6274626639	-3.91261081295259	0.00323576813529212	0.00552985059306235	-2.49885267881645
OG_23538	-0.526898327600001	3.6344943608	-3.90901814949386	0.00325404575897175	0.00555913740947365	-2.50473869443808
OG_732	-1.1800704598	-1.2003953991	-3.90820225939821	0.00325821171754674	0.00556430410347681	-2.50607558764648
OG_9101	2.3955083432	-2.90855954	3.90441019890279	0.00327764793199442	0.00559553625938382	-2.51229004326275
OG_886	0.5894883908	5.303144334	3.90335002265971	0.00328310367749147	0.0056028877185201	-2.51402773170147
OG_16727	2.451948659	-2.9534961683	3.90215108294585	0.00328928503312813	0.00561147191160886	-2.51599300012582
OG_358	-1.0503608412	2.2894900196	-3.89850974980474	0.00330813383595914	0.00564165301485824	-2.52196267385359
OG_14690	2.236799372	-2.6554072454	3.89694586313681	0.00331626393149842	0.00565353983984726	-2.52452695680004
OG_15207	0.386169810399999	5.4321142404	3.89517831052355	0.00332547814323723	0.00566726589864975	-2.52742548846595
OG_10450	2.3732810644	-2.8591425916	3.89392919661279	0.00333200599653712	0.00567640588155258	-2.52947404745516
OG_30461	0.505943344600001	2.9199631325	3.89027000187837	0.00335120665442058	0.00570712132552268	-2.53547607673405
OG_1078	-0.6403977434	1.9340686263	-3.88745390345315	0.00336606267791631	0.0057304189633825	-2.54009613573403
OG_1751	0.396380359000002	6.0734199571	3.86786132128448	0.00347135900242774	0.00590761305091928	-2.57226167221557
OG_2727	3.2069905986	-2.3625166473	3.86483403500056	0.00348793518593276	0.00593375081893063	-2.57723506543936
OG_6426	2.283338458	-2.696206238	3.86401321701679	0.00349244398498651	0.00593934821452347	-2.57858370818503
OG_1009	0.8766435428	3.6813282336	3.86377962167158	0.00349372825771505	0.00593945989818735	-2.57896752865552
OG_8857	0.7670079518	3.8993999763	3.86150398754067	0.00350626538288245	0.00595869507537276	-2.58270690706887
OG_9887	-0.488186079199997	6.8005798806	-3.86085660409542	0.00350984064519287	0.00596269198489719	-2.58377079776037
OG_9256	-2.105883028	-2.1596392514	-3.85707666824791	0.00353079255346455	0.00599619613435059	-2.58998346323946
OG_1413	1.078760877	3.9726769903	3.85454920834408	0.00354487543732843	0.00601801563271987	-2.59413836212072
OG_8535	2.5835106166	-2.6477102849	3.85414303121066	0.00354714414088995	0.00601977038394763	-2.59480613691483
OG_16732	-1.2069762112	-1.4588804666	-3.84990017639689	0.00357093411060972	0.00605803440832293	-2.60178256958673
OG_10452	-1.1017459436	-1.7671998118	-3.84967168550605	0.00357222002629341	0.00605810730972654	-2.60215832254782
OG_31403	2.5893502024	-1.2324625912	3.84836250404289	0.00357959731607996	0.00606850689341694	-2.60431136890368
OG_1558	2.5555239826	-1.7015468071	3.84694372815589	0.00358761026702743	0.00607997650955901	-2.60664484204094
OG_521	0.41274861	3.5454567176	3.84378538077896	0.00360551575956743	0.00610819736257618	-2.61184011446129
OG_18459	2.270534621	-3.0363363051	3.83793668594196	0.0036389220923344	0.00616264985338355	-2.62146341363953
OG_9689	2.1077737662	0.5021751679	3.83423868471649	0.00366021197259844	0.00619655198139798	-2.62754973967591
OG_9682	0.671832360400001	3.5148304254	3.82958627431743	0.00368718265973911	0.0062400445429057	-2.63520876411335
OG_13265	-2.7296410256	-1.6815903936	-3.82695533385367	0.00370252699037294	0.00626383774768404	-2.63954087664789
OG_2458	0.943132487999998	4.0722362764	3.82263935997658	0.00372784440405955	0.00630448078604658	-2.64664902011416
OG_1301	-2.1288860224	-2.6785337604	-3.82102565918186	0.00373735701182793	0.00631837602346491	-2.64930714808432
OG_889	0.5390256048	2.1144831188	3.81747694533426	0.00375836617421932	0.00635169096156205	-2.65515355985779
OG_14499	-0.979866511	1.3155540999	-3.81664626088328	0.0037633019097546	0.00635782790576912	-2.65652226533829
OG_6609	3.7209040306	-1.7296390645	3.8080463663036	0.00381480257461697	0.00644260143752013	-2.67069605971751
OG_30648	0.4287449012	3.1506433304	3.80074676272408	0.00385909733856201	0.0065151508237448	-2.68273233260229
OG_2544	0.6521351764	0.434472257	3.79977339358333	0.0038650445420699	0.00652293182065398	-2.68433769738192
OG_13371	2.011006802	-3.2326079114	3.79642046691426	0.003885604440796	0.00655536034767729	-2.68986832095554
OG_13321	2.299995957	-2.9623651109	3.79571492535816	0.00388994537936438	0.00656041307232595	-2.69103224091855
OG_8486	2.0115822958	-2.6126354673	3.7943662754624	0.00389825730677576	0.00657046188394189	-2.69325721648826
OG_16710	-0.544097373400001	5.2002301573	-3.79431075769355	0.00389859987040622	0.00657046188394189	-2.69334881226522
OG_9166	2.4671630118	-2.8709767475	3.79408593551839	0.00389998742341923	0.00657052841401498	-2.69371973723381
OG_15451	0.7629507264	2.6898086766	3.79311862538085	0.00390596336762299	0.00657832254795938	-2.69531571722248
OG_4246	0.6968402814	2.0695168753	3.79274321592654	0.00390828519881405	0.00657995926045585	-2.69593513482914
OG_9135	0.534782295200001	3.6918366184	3.79212851075386	0.00391209015559989	0.00658409095939015	-2.69694941391156
OG_1634	1.2489314296	4.5001507068	3.78873830987642	0.00393314512739276	0.00661724175040121	-2.7025439691002
OG_11867	0.5215367948	2.1997204702	3.78390657706957	0.00396335865397071	0.00666577297427649	-2.71051922161883
OG_24836	1.0061729314	-0.8862456935	3.78158112473348	0.00397798681678607	0.00668806752156444	-2.71435838818269
OG_2221	0.639226942199999	4.7224842115	3.77856202597903	0.00399706294893806	0.00671782234935314	-2.71934347033993
OG_31119	0.361707586	3.7613425888	3.77625508144679	0.00401170405951024	0.00674010533817749	-2.72315322718403
OG_8906	0.4706677906	1.1907745573	3.77461787010314	0.0040221288299664	0.00675529149457485	-2.72585726621718
OG_8646	-1.8052230856	-1.6109622018	-3.77376354863034	0.00402757991863707	0.00676211661158701	-2.72726837298825
OG_9133	-1.7860107332	-1.1496542	-3.77274313925651	0.00403410091291417	0.00677073273055911	-2.72895390031664
OG_11896	-0.531538203799999	3.6206886613	-3.767400194977	0.00406842674838813	0.00682480292691853	-2.73778102444428
OG_9735	0.4017791818	4.3031430079	3.76729320729582	0.00406911721494157	0.00682480292691853	-2.73795780657615
OG_14464	1.8190552496	-1.1991929694	3.76179485803773	0.00410476800051999	0.00688222883884914	-2.74704447254936
OG_10727	-0.4661977334	3.7823139349	-3.75918772265531	0.0041217868360862	0.00690838687726415	-2.75135403700849
OG_277	-1.9329331014	-2.7693743439	-3.75763680374578	0.00413194601922227	0.00692303365338237	-2.7539179824327
OG_12044	0.5185429652	2.8687932998	3.75679149976625	0.00413749418129764	0.00692994729884697	-2.75531551295446
OG_219	-2.4172179824	-1.9899606474	-3.75306723928188	0.00416203164847365	0.0069686507230026	-2.76147356085304
OG_11319	3.3286755188	-2.3847658542	3.75116185738194	0.00417464433662921	0.00698736830244875	-2.76462458840767
OG_12097	0.706634626	-0.3142568252	3.74966980310732	0.00418454899060081	0.0070015419774076	-2.76709230463298
