OG	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG_17726	0.404036204	2.1420786224	2.4069456014296	0.037600603788653	0.0629656138765664	-4.81173824147246
OG_1214	-1.2877135304	-4.1504803822	-2.40685656355497	0.037606258103136	0.0629656138765664	-4.81188517388481
OG_2354	0.3368593792	3.419243009	2.40638205418437	0.0376364057458165	0.0629944511006558	-4.81266819788883
OG_2431	0.369158859400001	2.1043151919	2.40395687912375	0.037790859443004	0.0632312560676971	-4.81666956791797
OG_10057	-1.897008863	-2.9383150325	-2.40157825663708	0.0379429540724749	0.0634639526936316	-4.82059315809999
OG_28437	-2.2346110108	-1.7147123794	-2.40094143928541	0.0379837757373646	0.0634888807708901	-4.82164343854419
OG_30911	0.346176793200001	4.444662181	2.40093934913893	0.0379839097923503	0.0634888807708901	-4.8216468856351
OG_10492	-1.3129350962	-4.5329542105	-2.40001603341628	0.0380431736992322	0.063566139393232	-4.82316955424539
OG_4156	1.8832042502	-3.1878130997	2.39734435212025	0.0382151709172823	0.0638316460078251	-4.82757468323839
OG_14333	0.3907452078	5.1265802127	2.39034445143436	0.0386694441480814	0.0645683010543846	-4.83911043528181
OG_30854	0.490218450000001	5.4746105014	2.38809689028129	0.0388164270083216	0.0647915291912874	-4.84281258150908
OG_6195	1.9798680842	-3.1519791847	2.38400286866067	0.0390855741857638	0.0651830952586192	-4.8495539107483
OG_1173	-1.6430375094	-0.7588781217	-2.38396146545249	0.0390883054385512	0.0651830952586192	-4.84962207134201
OG_375	-1.165899521	-4.7644628441	-2.38391858912209	0.0390911340666688	0.0651830952586192	-4.84969265676423
OG_19135	-0.534550279	0.9017082087	-2.38289215144116	0.0391589100515525	0.0652737782459872	-4.85138233915185
OG_25930	2.4813893352	-2.593135378	2.38175058752429	0.0392344234321291	0.0653772922421188	-4.85326131903448
OG_11656	2.0833264254	-2.9014457411	2.37997214171083	0.0393523510094753	0.0655513871565901	-4.8561881269231
OG_10615	0.4519020212	0.6025626124	2.37828199012258	0.0394647464216427	0.0657161510280446	-4.8589691067538
OG_12176	0.443804913	1.7769463131	2.37599179405517	0.0396175479737627	0.0659480631229915	-4.86273658789797
OG_30461	0.403850819199999	2.997673312	2.37553783686366	0.0396479048364212	0.0659760628790429	-4.86348325754231
OG_11837	-0.317300114	4.0406828472	-2.37465805634277	0.0397068022287639	0.0660515201580189	-4.86493021697497
OG_2671	0.446511472000001	4.640910256	2.37040135372714	0.0399929846634169	0.0665048813543138	-4.87192917286748
OG_232	-1.8608256054	-1.2863354089	-2.36952087662424	0.0400524321892352	0.0665810213132103	-4.87337646247892
OG_473	-2.0542666356	-3.957732221	-2.36866090802927	0.0401105787310498	0.0666549474037288	-4.87478990543071
OG_8857	0.6009644062	0.4450663637	2.36682069702585	0.0402352824690442	0.0668393888050856	-4.87781402177255
OG_8848	1.1855652224	-4.5732401254	2.36659586088857	0.0402505447651342	0.0668419608808396	-4.87818346466731
OG_12539	1.4627844018	3.7490168233	2.35950867336251	0.0407345575573766	0.0676226953455904	-4.88982414147027
OG_109	-1.0170417854	-4.8369525739	-2.35652985084387	0.0409396926960998	0.0679400960847091	-4.89471408421616
OG_2545	-1.1668744196	-4.7722141626	-2.35602864660781	0.0409743072598318	0.0679743953656978	-4.89553668391843
OG_4355	2.7702777796	-3.814142343	2.34969633422021	0.0414141124322748	0.0686806342275969	-4.90592553565695
OG_8962	0.460760544599999	3.7801774777	2.34550300341805	0.0417078984066261	0.0691443186509849	-4.91280101216133
OG_14547	-0.330453726799998	4.6663085856	-2.34373702419197	0.0418322333231432	0.0693268633855831	-4.91569555535703
OG_21151	-1.5820493016	-2.4375868228	-2.34099124585263	0.0420262727724512	0.0696247632538841	-4.92019486949385
OG_875	1.900536639	2.6903065527	2.34056786437091	0.0420562707190344	0.0696507860973747	-4.92088850713312
OG_6025	2.2345282698	-2.9187639601	2.33820087782391	0.0422243658999231	0.0699054209905656	-4.92476577547141
OG_9101	0.489368599800001	3.4677505687	2.33319827335053	0.0425817997163327	0.0704732400059103	-4.93295680578483
OG_9671	1.918468408	-3.1406402854	2.33214120717782	0.0426577045970246	0.0705748989157834	-4.93468697816406
OG_12283	-0.9376974296	1.4099374244	-2.3299904803915	0.042812550916174	0.0708070489193865	-4.93820655041403
OG_9135	0.662815875200001	2.1523753154	2.32803853975363	0.0429535609724542	0.0710161655969274	-4.94140003860682
OG_10390	-1.1901429482	-4.7557655481	-2.32652160992451	0.043063458957506	0.0711737195520123	-4.94388131028865
OG_31137	1.565267514	-3.9644149586	2.32373740862112	0.0432658835549523	0.0714840394735042	-4.94843430957083
OG_9343	-1.2410639686	-6.1529291413	-2.32118059405913	0.0434525951604727	0.0717681968187543	-4.95261412070675
OG_201	-1.7141673636	-1.1954653736	-2.32036051699705	0.0435126479855624	0.0718430373582761	-4.95395448712998
OG_3054	0.503829984	2.7369626886	2.31974083974163	0.0435580796700155	0.0718936946534559	-4.9549672239129
OG_8332	-0.8612570652	2.0470060982	-2.31928928490375	0.0435912146388109	0.0719240284866501	-4.95570515079984
OG_10434	0.931013329200002	-4.1757623048	2.3185335987502	0.043646721786337	0.0719912426350614	-4.95693999592451
OG_14407	1.3388625664	-1.3039839392	2.31771912761049	0.0437066241745982	0.0720656583988469	-4.95827077298078
OG_13167	0.319370057	3.5968377221	2.31736914740196	0.0437323890413539	0.0720837552206828	-4.95884257058916
OG_2202	0.448009979000001	2.7253230639	2.31564274706602	0.0438597005815218	0.0722691618101207	-4.96166280639516
OG_1840	0.310651652999999	4.0742354281	2.31161445433608	0.0441581722053033	0.0727363742239434	-4.96824108250163
OG_8278	-1.257629324	-4.6902894544	-2.30960050627811	0.0443081361325736	0.0729587349696499	-4.97152867585578
OG_30546	-0.347791143999999	2.560504608	-2.30873652472218	0.0443726228080912	0.0730361204720555	-4.97293879942736
OG_13383	0.4853244576	3.6938389202	2.30856946755328	0.0443851023467846	0.0730361204720555	-4.97321143978024
OG_15204	1.301287169	-3.8333306627	2.30519424605538	0.0446379739720198	0.0734274333917059	-4.9787186535556
OG_2499	-0.400957820399999	2.520029363	-2.30256667942588	0.0448358041404584	0.0737279721257065	-4.98300434772293
OG_30705	0.3362579158	3.5885415439	2.29846901583712	0.0451460267276086	0.0742130638348615	-4.98968503094744
OG_13318	-0.3590542946	2.9544455315	-2.29728284842983	0.0452362182344314	0.0743326543272025	-4.99161827284245
OG_20622	2.7718774202	5.6254860321	2.29711127023123	0.0452492789061981	0.0743326543272025	-4.99189789082381
OG_14690	0.618027518200002	4.3001138361	2.29593972038099	0.0453385565687794	0.0744542199178675	-4.9938069829693
OG_14412	0.4816077752	3.3384585334	2.29450727110676	0.0454479494415847	0.0746087253547605	-4.99614083736889
OG_19606	-1.661233601	-2.2753552583	-2.29320472760213	0.0455476450906177	0.0747472128524145	-4.99826267111595
OG_6120	0.773657710799999	-5.3770483792	2.29154319928145	0.0456751266522114	0.0749311906101914	-5.00096877795808
OG_11756	0.625696548400001	3.9723470334	2.29125827411463	0.0456970225828566	0.0749418869679822	-5.00143277380977
OG_9504	2.1277494264	-2.3228070116	2.28977384521254	0.0458112635965236	0.0751039686409204	-5.00384986807464
OG_2201	0.297727784599999	7.0312598969	2.28957381592634	0.0458266790319091	0.0751039790186702	-5.00417554048645
OG_2079	0.5639806624	5.231195883	2.28868151857698	0.0458955063228001	0.075191495064648	-5.00562820923054
OG_283	-2.6002786552	-0.8117060232	-2.28707955623587	0.0460193264418091	0.0753690178351403	-5.00823580202425
OG_10078	0.3367702702	3.2091268089	2.28571549882946	0.0461250147669043	0.075516735631136	-5.0104557216777
OG_9030	0.3058616684	3.9527851608	2.28499954195274	0.0461805823159238	0.075582323105377	-5.0116207412851
OG_11578	2.2848962394	-2.8048857763	2.28408864144386	0.0462513743027109	0.0756727755459593	-5.01310282140789
OG_641	0.453141823	4.3285725963	2.28335752329135	0.0463082707051426	0.0757404400727735	-5.01429226043
OG_2491	0.484279761600001	3.2919839762	2.2820700628475	0.0464086280457349	0.0758791187839356	-5.01638652579839
OG_4471	1.0421023224	-5.2063954368	2.28186180845113	0.0464248813357258	0.0758802386419609	-5.01672525282622
OG_12298	1.426652481	-4.1660194409	2.28157458222454	0.0464473071075358	0.0758914431250853	-5.01719241297738
OG_10334	2.260912959	-3.6895362835	2.27863021687407	0.0466778036611929	0.0762405175906675	-5.02198027978545
OG_9466	0.352100468000001	5.3886771728	2.27844636398649	0.0466922332802918	0.0762405175906675	-5.02227918412321
OG_6536	1.9311904828	-2.9533159594	2.27785328038762	0.0467388108151729	0.0762910126969701	-5.02324335858357
OG_277	2.2219107694	-2.0574123531	2.27628218153027	0.0468624150552419	0.0764671613589718	-5.02579712814492
OG_1263	0.895340383200001	4.4724044718	2.27355219753899	0.0470779504034113	0.0767931493528202	-5.03023337475641
OG_14443	0.4012629264	2.3176108076	2.27239788854001	0.0471693743708465	0.0769165375321197	-5.03210865667596
OG_30489	0.387448499	7.1480922157	2.27187233668536	0.0472110565243336	0.0769587590299672	-5.03296236965945
OG_30408	0.4234534844	2.8203286336	2.26947808406493	0.0474014016071886	0.0772432067647734	-5.03685087191986
OG_8113	0.4455516962	3.7382601673	2.26800838409391	0.0475186136030179	0.0774083297797824	-5.03923719756472
OG_1123	2.1224683412	-2.962738185	2.2676186344065	0.0475497443187929	0.0774331619812218	-5.03986994890315
OG_610	-1.325406303	-0.7313233839	-2.26645572967456	0.0476427476705206	0.077558701451609	-5.04175770766045
OG_30825	0.3170296674	4.4319343671	2.26592257416813	0.0476854459352078	0.0776022916488156	-5.04262308815412
